presassetone	powid	teamcolor1g	hassubstitutionboard	rightfreekicktakerid	flamethrowercannon	domesticprestige	teamcolor1r	genericint2	cksupport7	defensivedepth	hasvikingclap	jerseytype	pitchcolor	cksupport9	pitchwear	clubworth	popularity	hastifo	presassettwo	teamstadiumcapacity	stadiumgoalnetstyle	iscompetitionscarfenabled	cityid	teamcolor2b	rivalteam	playsurfacetype	isbannerenabled	goalnetstanchioncolor2g	midfieldrating	cksupport8	stadiummowpattern_code	cksupport6	matchdayoverallrating	matchdaymidfieldrating	assetid	attackrating	teamcolor2r	foundationyear	longitude	buildupplay	matchdaydefenserating	hasstandingcrowd	favoriteteamsheetid	defenserating	iscompetitionpoleflagenabled	skinnyflags	uefa_consecutive_wins	longkicktakerid	trait1vweak	iscompetitioncrowdcardsenabled	goalnetstanchioncolor2r	rightcornerkicktakerid	throwerleft	gender	cksupport1	cornerflagpolecolor	teamcolor3r	uefa_cl_wins	hassuncanthem	domesticcups	goalnetstanchioncolor1b	teamcolor1b	ethnicity	leftcornerkicktakerid	opponentweakthreshold	youthdevelopment	latitude	teamid	uefa_el_wins	trait1vequal	teamcolor3g	numtransfersin	opponentstrongthreshold	stanchionflamethrower	stadiumgoalnetpattern	throwerright	captainid	personalityid	goalnetstanchioncolor2b	prev_el_champ	leftfreekicktakerid	cksupport2	goalnetstanchioncolor1r	leaguetitles	genericbanner	crowdregion	uefa_uecl_wins	overallrating	ballid	teamcolor2g	profitability	utcoffset	penaltytakerid	goalnetstanchioncolor1g	pitchlinecolor	teamname	cksupport5	freekicktakerid	crowdskintonecode	internationalprestige	cksupport3	haslargeflag	trainingstadium	form	genericint1	cksupport4	teamcolor3b	trait1vstrong	matchdayattackrating
0	-1	200	0	200610	0	8	145	-1	0	50	0	2	4	0	2	5580	10	0	0	15000	0	1	333	255	111239	0	1	240	67	0	1	0	66	67	33	66	255	1899	11	2	65	1	-1	65	1	0	0	238793	263184	1	240	269866	0	0	0	0	20	0	0	2	240	241	4	244413	1	10	48	33	0	4202512	75	0	1	0	0	0	238779	0	240	0	200610	0	240	1	0	4	0	66	91	255	3	1	200610	240	0	TSV 1860 München	0	200610	2	1	0	0	366	0	-1	0	175	528400	66
0	-1	75	1	72964	0	8	1	-1	0	65	0	2	4	0	0	63201	10	1	0	62271	3	1	178	255	160	0	1	180	67	0	1	0	68	67	34	71	255	1904	7	3	68	1	-1	68	1	0	0	72964	139265	3	180	239073	0	0	0	0	13	0	0	5	180	156	4	239073	1	9	51	34	1	135169	70	0	1	0	1	0	212240	1	180	0	239073	0	180	7	0	4	0	68	27	255	2	1	212240	180	0	FC Schalke 04	0	72964	2	3	0	0	366	0	-1	0	223	264193	71
0	-1	255	1	250959	4	7	255	-1	0	65	0	2	4	0	0	356020	8	0	0	60449	24	1	466	41	25	0	1	30	78	0	1	0	77	78	36	80	211	1893	9	1	75	1	-1	75	1	0	0	250959	132097	1	210	250959	0	0	0	0	1	0	0	4	255	255	3	250959	2	8	48	36	0	132097	1	0	2	0	0	0	239096	0	30	0	250959	0	255	5	0	4	0	77	25	1	5	1	238900	255	0	VfB Stuttgart	0	250959	2	5	0	0	366	0	-1	0	1	270337	80
0	-1	129	1	239701	0	4	1	-1	0	65	0	2	4	0	0	202000	7	1	0	42100	25	1	70	255	28	0	1	1	75	0	1	0	75	75	38	72	255	1899	8	1	74	1	-1	74	1	0	0	239701	132224	3	1	239701	0	0	0	0	1	0	0	6	1	73	3	239701	2	6	53	38	0	132224	81	0	2	0	0	0	237595	1	1	0	239701	0	1	4	0	4	0	75	25	255	2	1	265749	1	0	Werder Bremen	0	239701	2	3	0	0	366	0	-1	0	52	270464	72
0	-1	250	0	277954	0	10	250	-1	0	50	0	2	3	0	0	1840000	10	1	0	41507	0	1	485	30	54	0	1	25	79	0	1	0	80	79	45	81	30	1897	7	1	81	1	-1	81	1	0	0	222077	132160	3	25	261050	0	0	0	0	248	2	0	15	25	250	2	277954	2	7	45	45	3	263232	151	0	2	0	0	0	222077	0	25	0	258966	0	25	36	0	4	0	80	92	30	9	1	222077	25	0	Juventus	0	277954	2	8	0	0	316	0	-1	0	170	4202560	81
0	-1	167	0	216409	0	8	0	-1	0	50	0	2	3	0	0	562575	8	0	0	54726	0	1	338	250	45	0	1	255	84	0	1	0	81	84	48	80	250	1926	14	1	80	1	-1	80	1	0	0	216409	132228	3	255	216409	0	0	0	0	10	0	0	6	255	225	3	239380	2	1	40	48	1	263300	96	0	2	0	0	0	217870	1	255	0	216409	0	255	4	0	4	0	81	92	250	9	1	192505	255	0	Napoli	0	216409	2	7	0	0	316	0	-1	0	140	4202628	80
0	-1	212	0	252794	0	3	255	-1	0	50	0	2	4	0	0	256200	4	0	0	22352	0	1	653	145	189	0	1	250	73	0	1	0	72	73	50	71	9	1913	10	2	69	1	-1	69	1	0	0	252794	263176	1	250	239978	0	0	0	0	250	0	0	3	250	0	4	239978	2	9	44	50	2	4202504	250	0	2	0	0	0	252442	0	250	0	252794	0	250	0	0	4	0	72	92	48	4	1	239978	250	0	Parma	0	252794	2	3	0	0	366	0	-1	0	250	528392	71
0	-1	0	0	211110	0	7	102	-1	0	65	0	2	4	0	0	478500	8	1	0	70634	0	1	408	0	115841	0	1	250	79	0	1	0	79	79	52	78	255	1927	12	1	79	2	-1	79	1	0	0	265695	132164	1	250	211110	0	0	0	0	250	0	0	9	250	0	2	211110	2	2	41	52	0	132164	250	0	2	0	0	0	229582	1	250	0	211110	0	250	3	0	4	1	79	92	142	6	1	211110	250	0	Roma	0	211110	2	7	0	0	316	0	-1	0	250	270404	78
0	-1	30	0	211147	0	5	122	-1	0	50	0	2	4	0	0	270600	5	0	0	27958	0	1	485	250	45	0	1	29	75	0	1	0	76	75	54	78	250	1906	7	1	75	1	-1	75	1	0	0	211147	132104	1	124	211147	0	0	0	0	150	0	0	5	35	35	2	211147	2	5	45	54	0	263176	30	0	2	0	0	0	215333	0	35	0	211147	0	124	7	0	4	0	76	92	250	5	1	215333	29	0	Torino	0	211147	2	3	0	0	366	0	-1	0	55	4202504	78
0	-1	30	0	204970	0	4	30	-1	0	50	0	2	4	0	0	240225	4	0	0	25144	0	1	499	250	112494	0	1	30	73	0	1	0	73	73	55	74	250	1896	13	2	72	1	-1	72	1	0	0	204970	263176	1	30	204970	0	0	0	0	196	0	0	0	30	30	2	204970	2	7	46	55	0	4202504	160	0	2	0	0	0	204970	0	30	0	204970	0	30	0	0	4	0	73	92	250	3	1	204970	30	0	Udinese	0	204970	2	2	0	0	366	0	-1	0	64	528392	74
0	-1	112	0	251170	4	3	32	-1	0	30	0	2	4	0	0	65000	4	0	0	18541	0	1	29	250	1530	0	1	1	72	0	3	0	72	72	57	72	250	1905	3	2	72	1	-1	72	0	0	0	251170	4195457	0	1	260943	0	0	0	0	1	0	0	4	1	184	2	260943	2	7	47	57	0	532609	116	0	2	0	0	0	238392	0	1	0	251170	0	1	1	0	4	0	72	45	250	3	1	251170	1	0	AJ Auxerre	0	251170	2	1	0	0	366	0	-1	0	175	528513	72
0	-1	54	0	247369	4	6	34	-1	0	30	0	1	4	0	0	20000	2	0	0	16078	0	1	42	250	72	0	1	97	67	0	3	0	66	67	58	66	250	1905	9	2	66	1	-1	66	1	0	0	247369	4195392	0	97	276022	0	0	0	0	0	0	0	1	97	123	2	276022	1	2	42	58	0	532544	103	0	1	0	1	0	178363	0	97	0	247369	0	97	0	0	4	0	66	51	250	2	1	276022	97	0	SC Bastia	0	247369	2	1	0	0	366	0	-1	0	206	528448	66
0	-1	1	0	225174	4	9	222	-1	0	50	0	2	4	0	0	35000	2	0	0	18462	0	1	201	1	378	0	1	1	67	0	3	0	67	67	62	69	1	1912	-3	1	68	1	-1	68	0	0	0	225174	263170	1	1	225174	0	0	0	0	250	0	0	2	1	23	2	225174	1	5	48	62	0	4195330	250	0	1	0	0	0	225174	0	1	0	225174	0	1	0	0	4	0	67	51	1	4	1	225174	1	0	En Avant Guingamp	0	225174	2	1	0	0	366	0	-1	0	250	532482	69
0	-1	1	0	220837	4	5	184	-1	0	90	1	1	4	0	0	130000	7	0	0	38223	18	1	274	1	65	0	1	1	75	0	1	0	74	75	64	74	255	1906	2	2	73	1	-1	73	1	0	0	208787	66688	1	1	208787	0	0	0	0	182	0	0	0	1	28	2	208787	2	2	50	64	0	73856	25	0	2	0	0	0	227232	0	1	0	208787	0	1	1	0	4	0	74	45	213	3	1	227232	1	0	RC Lens	0	208787	2	2	0	0	366	0	-1	0	44	135296	74
0	-1	30	0	262088	4	7	224	-1	0	65	0	1	4	0	0	220000	5	0	0	50186	13	1	279	106	64	0	1	1	77	0	1	0	77	77	65	79	36	1944	3	1	75	1	-1	75	1	0	0	262088	132104	1	1	262088	0	0	0	0	250	0	0	6	1	20	1	262088	2	7	50	65	0	132104	250	0	2	0	0	0	190674	0	1	0	262088	0	1	4	0	4	0	77	45	32	5	1	178509	1	0	LOSC Lille	0	262088	2	4	0	0	366	0	-1	0	250	270344	79
0	-1	250	0	254551	4	6	250	-1	0	65	1	1	4	0	0	450000	8	0	0	59186	23	1	293	127	1819	0	1	1	76	0	1	0	76	76	66	77	19	1950	4	1	75	1	-1	75	1	0	0	254551	132098	3	1	225782	0	0	0	0	180	0	0	5	1	250	4	225782	2	9	45	66	0	132098	1	0	2	0	0	0	219683	1	1	0	254551	0	1	7	0	4	0	76	45	56	1	1	254551	1	0	Olympique Lyonnais	0	254551	2	4	0	0	316	0	-1	0	1	270338	77
0	-1	5	0	234239	4	2	99	-1	0	65	0	1	4	0	0	61000	3	0	0	24985	0	1	313	250	1823	0	1	1	71	0	3	0	70	71	68	71	250	1932	6	1	68	1	-1	68	1	0	0	234239	132224	1	1	234239	0	0	0	0	112	0	0	2	1	5	2	234239	1	5	49	68	0	132224	14	0	1	0	0	0	234239	0	1	0	234239	0	1	0	0	4	0	70	45	250	1	1	234239	1	0	FC Metz	0	234239	2	1	0	0	366	0	-1	0	29	270464	71
0	-1	30	0	264862	4	8	224	-1	0	65	0	1	4	0	0	500000	3	0	0	18523	1	1	321	250	72	0	1	1	79	0	1	0	78	79	69	77	250	1924	7	1	78	1	-1	78	0	0	0	225663	132230	0	1	225663	0	0	0	0	250	0	0	5	1	35	2	225663	2	7	43	69	0	132230	33	0	2	0	0	0	229261	0	1	0	225663	0	1	8	0	4	0	78	45	250	5	1	229261	1	0	AS Monaco	0	225663	2	6	0	0	316	0	-1	0	64	270470	77
0	-1	90	0	205686	4	9	1	-1	0	50	0	2	4	0	0	45000	2	0	0	22000	0	1	326	38	219	0	1	1	72	0	3	0	71	72	70	71	244	1974	3	2	72	1	-1	72	1	0	0	205686	263168	1	1	205686	0	0	0	0	250	0	0	2	1	148	9	205686	1	8	43	70	0	4202496	250	0	1	0	0	0	205686	0	1	0	205686	0	1	1	0	4	0	71	51	148	2	1	205686	1	0	Montpellier HSC	0	205686	2	1	0	0	366	0	-1	0	250	528384	71
0	-1	220	0	258619	4	3	255	-1	0	65	0	2	4	0	0	95000	7	0	0	35322	18	1	337	44	74	0	1	1	73	0	3	0	72	73	71	72	1	1943	-1	2	70	1	-1	70	1	0	0	258619	132353	1	1	189271	0	0	0	0	254	0	0	4	1	17	3	189271	1	7	47	71	0	139521	221	0	1	0	0	0	199482	0	1	0	258619	0	1	8	0	4	0	72	45	87	2	1	264422	1	0	FC Nantes	0	258619	2	1	0	0	366	0	-1	0	57	266497	72
0	-1	1	0	239093	4	6	204	-1	0	50	1	2	4	0	0	220000	6	0	0	35596	0	1	344	1	69	0	1	1	76	0	3	0	76	76	72	76	1	1904	7	2	75	1	-1	75	1	0	0	239093	132234	1	1	239093	0	0	0	0	201	0	0	3	1	1	2	239093	2	2	43	72	0	270474	18	0	2	0	0	0	158625	0	1	0	239093	0	1	4	0	4	0	76	45	1	4	1	210896	1	0	OGC Nice	0	239093	2	4	0	0	366	0	-1	0	27	4198538	76
0	-1	62	0	235212	4	10	1	-1	0	90	0	2	4	0	0	3961520	10	1	0	47929	0	1	373	41	219	0	1	62	86	0	1	0	85	86	73	84	200	1970	2	1	85	1	-1	85	1	0	0	235212	66180	3	1	231443	0	0	0	0	250	1	0	16	116	116	3	231443	3	7	48	73	0	66692	250	0	3	0	0	0	207865	1	116	0	255253	0	1	13	0	4	0	85	45	42	10	1	255253	62	0	Paris Saint-Germain	0	235212	2	10	0	0	316	0	-1	0	250	139396	84
0	-1	24	0	231102	4	6	202	-1	0	50	0	1	4	0	0	170000	5	0	0	29164	0	1	400	1	71	0	1	1	76	0	1	0	76	76	74	73	1	1901	-1	1	75	1	-1	75	1	0	0	231102	263172	1	1	231102	0	0	0	0	250	0	0	3	1	10	7	231102	2	10	48	74	0	4195332	250	0	2	0	0	0	204883	0	1	0	231102	0	1	0	0	4	0	76	45	1	5	1	253444	1	0	Stade Rennais	0	231102	2	4	0	0	366	0	-1	0	250	532484	73
0	-1	102	0	250789	4	6	51	-1	0	65	0	2	4	0	0	120000	7	0	0	26109	3	1	564	250	68	0	1	182	74	0	3	0	74	74	76	76	250	1906	7	2	75	1	-1	75	1	0	0	270039	132098	1	182	250789	0	0	0	0	1	0	0	3	182	204	6	250789	2	6	48	76	0	139266	159	0	2	0	0	0	258437	0	182	0	250789	0	182	1	0	4	0	74	45	250	9	1	258437	182	0	RC Strasbourg	0	250789	2	3	0	0	366	0	-1	0	227	266242	76
